Image,Percentage
Raspberry Pi OS (32-bit),46.21%
Raspberry Pi OS Lite (32-bit),14.45%
Raspberry Pi OS Full (32-bit),10.15%
Ubuntu Desktop 20.10 (RPi 4/400),6.67%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.89%
RetroPie 4.7.1 (RPI 4/400),2.34%
Raspberry Pi 4 EEPROM boot recovery,2.27%
Ubuntu Server 20.10 (RPi 3/4/400),1.84%
RetroPie 4.7.1 (RPI 2/3),1.64%
LibreELEC (RPi4),1.60%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.56%
Recalbox 7.1.1-Reloaded (Pi 3),1.49%
LibreELEC (RPi2/RPi3),1.40%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.08%
RISC OS (5.28),1.06%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.73%
Ubuntu Core 18 (RPi 3/4),0.72%
RetroPie 4.7.1 (RPI 1/Zero),0.60%
Ubuntu Core 18 (RPi 2/3/4),0.37%
Recalbox 7.1.1-Reloaded (Pi 2),0.29%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.28%
LibreELEC (RPi0/RPi1),0.28%
TLXOS RPi 4.9.3 (latest),0.05%
TLXOS RPi 4.8.1 (LTS),0.02%
