Image,Percentage
Raspberry Pi OS (32-bit),42.99%
Raspberry Pi OS Lite (32-bit),14.38%
Raspberry Pi OS Full (32-bit),9.50%
Ubuntu Desktop 20.10 (RPi 4/400),6.05%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.25%
RetroPie 4.7.1 (RPI 4/400),2.63%
USB Boot,2.27%
Ubuntu Server 20.10 (RPi 3/4/400),1.98%
SD Card Boot,1.86%
RetroPie 4.7.1 (RPI 2/3),1.63%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.55%
Recalbox 7.1.1-Reloaded (Pi 3),1.51%
LibreELEC (RPi4),1.42%
LibreELEC (RPi2/RPi3),1.16%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.04%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.86%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.84%
RISC OS (5.28),0.69%
RetroPie 4.7.1 (RPI 1/Zero),0.69%
Ubuntu Core 18 (RPi 3/4),0.54%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.46%
OctoPi,0.44%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.33%
Ubuntu Core 18 (RPi 2/3/4),0.31%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.29%
LibreELEC (RPi0/RPi1),0.26%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.18%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.17%
Recalbox 7.1.1-Reloaded (Pi 2),0.17%
Network Boot,0.15%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.11%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.05%
TLXOS RPi 4.9.3 (latest),0.05%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
OctoPi (mirror),0.02%
info-beamer OS,0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
info-beamer OS (testing),0.00%
