Image,Percentage
Raspberry Pi OS (32-bit),40.56%
Raspberry Pi OS Lite (32-bit),13.76%
Raspberry Pi OS Full (32-bit),8.90%
Ubuntu Desktop 21.04 (RPi 4/400),7.62%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.65%
Ubuntu Server 21.04 (RPi 3/4/400),2.64%
RetroPie 4.7.1 (RPI 4/400),2.37%
SD Card Boot,2.20%
USB Boot,1.96%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.78%
Recalbox 7.2.1-Reloaded - Pi3,1.70%
RetroPie 4.7.1 (RPI 2/3),1.59%
LibreELEC (RPi4),1.40%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.16%
LibreELEC (RPi2/RPi3),1.08%
Homebridge,0.90%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.89%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.79%
RISC OS (5.28),0.76%
RetroPie 4.7.1 (RPI 1/Zero),0.58%
Ubuntu Core 18 (RPi 3/4),0.58%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.57%
OctoPi,0.44%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.33%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.31%
LibreELEC (RPi0/RPi1),0.24%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.23%
Recalbox 7.2.1-Reloaded - Pi2,0.20%
info-beamer OS,0.20%
Network Boot,0.12%
TLXOS RPi 4.9.3 (latest),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
TLXOS RPi 4.10.0 (latest),0.02%
info-beamer OS (testing),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.2 (LTS),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
Recalbox 7.2-Reloaded - Pi3,0.01%
OctoPi (mirror),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.00%
