Operating System,Percentage
Raspberry Pi OS (32-bit),47.37%
Raspberry Pi OS (other),24.62%
Ubuntu,11.67%
RetroPie,5.47%
Recalbox,4.25%
LibreELEC,3.25%
Misc utility images,2.31%
RISC OS Pi,0.94%
TLXOS,0.11%
