Operating System,Percentage
Raspberry Pi OS (32-bit),46.98%
Raspberry Pi OS (other),24.81%
Ubuntu,11.78%
RetroPie,5.13%
Recalbox,4.70%
LibreELEC,3.23%
Misc utility images,2.28%
RISC OS Pi,0.97%
TLXOS,0.12%
