Operating System,Percentage
Raspberry Pi OS (32-bit),39.57%
Raspberry Pi OS (other),24.40%
Ubuntu,14.39%
RetroPie,5.50%
Bootloader,4.60%
Recalbox,4.49%
LibreELEC,3.43%
Manjaro ARM Linux,2.31%
RISC OS Pi,0.59%
OctoPi,0.50%
ALT,0.13%
TLXOS,0.08%
