Image,Percentage
Raspberry Pi OS (32-bit),47.66%
Raspberry Pi OS Lite (32-bit),15.23%
Raspberry Pi OS Full (32-bit),10.39%
Ubuntu Desktop 20.10 (RPi 4/400),5.77%
RetroPie 4.7.1 (RPI 4/400),2.82%
Raspberry Pi 4 EEPROM boot recovery,2.22%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.07%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.93%
Ubuntu Server 20.10 (RPi 3/4/400),1.71%
RetroPie 4.7.1 (RPI 2/3),1.61%
LibreELEC (RPi4),1.45%
Recalbox 7.1.1-Reloaded (Pi 3),1.36%
LibreELEC (RPi2/RPi3),1.12%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.89%
RISC OS (5.28),0.81%
RetroPie 4.7.1 (RPI 1/Zero),0.63%
Ubuntu Core 18 (RPi 3/4),0.61%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.52%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.36%
LibreELEC (RPi0/RPi1),0.34%
Ubuntu Core 18 (RPi 2/3/4),0.23%
Recalbox 7.1.1-Reloaded (Pi 2),0.14%
TLXOS RPi 4.9.2 (latest),0.12%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
TLXOS RPi 4.8.0 (LTS),0.01%
