Image,Percentage
Raspberry Pi OS (32-bit),41.67%
Raspberry Pi OS Lite (32-bit),14.05%
Raspberry Pi OS Full (32-bit),9.94%
Ubuntu Desktop 20.10 (RPi 4/400),6.71%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.44%
RetroPie 4.7.1 (RPI 4/400),2.62%
SD Card Boot,2.24%
Ubuntu Server 20.10 (RPi 3/4/400),2.05%
USB Boot,1.99%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.81%
RetroPie 4.7.1 (RPI 2/3),1.61%
LibreELEC (RPi4),1.58%
Recalbox 7.1.1-Reloaded (Pi 3),1.52%
LibreELEC (RPi2/RPi3),1.12%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.97%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.85%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.83%
RISC OS (5.28),0.83%
Ubuntu Core 18 (RPi 3/4),0.65%
RetroPie 4.7.1 (RPI 1/Zero),0.58%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.57%
OctoPi,0.39%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.37%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.28%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.27%
LibreELEC (RPi0/RPi1),0.24%
Network Boot,0.23%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
TLXOS RPi 4.9.3 (latest),0.06%
OctoPi (mirror),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
