Image,Percentage
Raspberry Pi OS (32-bit),47.36%
Raspberry Pi OS Lite (32-bit),14.80%
Raspberry Pi OS Full (32-bit),9.96%
Ubuntu Desktop 20.10 (RPi 4/400),5.53%
RetroPie 4.7.1 (RPI 4/400),2.70%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.24%
Raspberry Pi 4 EEPROM boot recovery,2.18%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.02%
Recalbox 7.1.1-Reloaded (Pi 3),1.83%
LibreELEC (RPi4),1.65%
Ubuntu Server 20.10 (RPi 3/4/400),1.63%
RetroPie 4.7.1 (RPI 2/3),1.57%
LibreELEC (RPi2/RPi3),1.31%
RISC OS (5.28),1.02%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.96%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.67%
RetroPie 4.7.1 (RPI 1/Zero),0.66%
Ubuntu Core 18 (RPi 3/4),0.52%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.40%
LibreELEC (RPi0/RPi1),0.34%
Ubuntu Core 18 (RPi 2/3/4),0.33%
Recalbox 7.1.1-Reloaded (Pi 2),0.18%
TLXOS RPi 4.9.2 (latest),0.07%
TLXOS RPi 4.8.0 (LTS),0.01%
TLXOS RPi 4.9.3 (latest),0.01%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.00%
