Operating System,Percentage
Raspberry Pi OS (32-bit),40.84%
Raspberry Pi OS (other),22.64%
Ubuntu,16.41%
RetroPie,4.45%
Bootloader,4.11%
Recalbox,3.80%
LibreELEC,2.78%
Manjaro ARM Linux,1.81%
RISC OS Pi,0.88%
Homebridge,0.68%
Home Assistant,0.65%
OctoPi,0.53%
TLXOS,0.24%
ALT,0.10%
info-beamer digital signage,0.08%
