Image,Percentage
Raspberry Pi OS (32-bit),41.27%
Raspberry Pi OS Lite (32-bit),14.92%
Raspberry Pi OS Full (32-bit),9.13%
Ubuntu Desktop 20.10 (RPi 4/400),5.72%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.34%
RetroPie 4.7.1 (RPI 4/400),2.93%
Ubuntu Server 20.10 (RPi 3/4/400),2.00%
USB Boot,1.93%
RetroPie 4.7.1 (RPI 2/3),1.92%
SD Card Boot,1.90%
Recalbox 7.1.1-Reloaded (Pi 3),1.90%
LibreELEC (RPi4),1.74%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.73%
LibreELEC (RPi2/RPi3),1.34%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.26%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),1.01%
RetroPie 4.7.1 (RPI 1/Zero),0.79%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.78%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.61%
RISC OS (5.28),0.58%
Ubuntu Core 18 (RPi 3/4),0.52%
OctoPi,0.44%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.38%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.35%
Ubuntu Core 18 (RPi 2/3/4),0.32%
LibreELEC (RPi0/RPi1),0.32%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.24%
Network Boot,0.17%
info-beamer OS,0.13%
Recalbox 7.1.1-Reloaded (Pi 2),0.13%
TLXOS RPi 4.9.3 (latest),0.07%
ALT Education 9.1 (Raspberry Pi 4/3),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
OctoPi (mirror),0.03%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
info-beamer OS (testing),0.01%
