Image,Percentage
Raspberry Pi OS (32-bit),44.79%
Raspberry Pi OS Lite (32-bit),13.85%
Raspberry Pi OS Full (32-bit),9.87%
Ubuntu Desktop 20.10 (RPi 4/400),6.34%
RetroPie 4.7.1 (RPI 4/400),3.52%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.73%
Raspberry Pi 4 EEPROM boot recovery,2.40%
RetroPie 4.7.1 (RPI 2/3),2.36%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.19%
Ubuntu Server 20.10 (RPi 3/4/400),1.86%
Recalbox 7.1.1-Reloaded (Pi 3),1.78%
LibreELEC (RPi4),1.61%
LibreELEC (RPi2/RPi3),1.36%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.99%
RISC OS (5.28),0.88%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.85%
RetroPie 4.7.1 (RPI 1/Zero),0.76%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.51%
Ubuntu Core 18 (RPi 3/4),0.50%
LibreELEC (RPi0/RPi1),0.35%
Ubuntu Core 18 (RPi 2/3/4),0.28%
Recalbox 7.1.1-Reloaded (Pi 2),0.18%
TLXOS RPi 4.8.1 (LTS),0.03%
TLXOS RPi 4.9.3 (latest),0.01%
