Image,Percentage
Raspberry Pi OS (32-bit),42.28%
Raspberry Pi OS Lite (32-bit),14.17%
Raspberry Pi OS Full (32-bit),9.35%
Ubuntu Desktop 20.10 (RPi 4/400),4.48%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.40%
RetroPie 4.7.1 (RPI 4/400),2.59%
USB Boot,2.22%
SD Card Boot,1.93%
Ubuntu Desktop 21.04 (RPi 4/400),1.89%
RetroPie 4.7.1 (RPI 2/3),1.64%
Ubuntu Server 20.10 (RPi 3/4/400),1.49%
LibreELEC (RPi4),1.39%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.24%
Recalbox 7.1.1-Reloaded (Pi 3),1.20%
LibreELEC (RPi2/RPi3),1.14%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.90%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.80%
RetroPie 4.7.1 (RPI 1/Zero),0.68%
Ubuntu Server 21.04 (RPi 3/4/400),0.67%
RISC OS (5.28),0.64%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.56%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.55%
Ubuntu Core 18 (RPi 3/4),0.53%
Recalbox 7.2-Reloaded - Pi3,0.48%
OctoPi,0.45%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.42%
Ubuntu Core 18 (RPi 2/3/4),0.33%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.32%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.30%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.26%
LibreELEC (RPi0/RPi1),0.26%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.24%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.17%
Network Boot,0.15%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.14%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.13%
Recalbox 7.1.1-Reloaded (Pi 2),0.13%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.10%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.09%
info-beamer OS,0.08%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
Recalbox 7.2-Reloaded - Pi2,0.04%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
OctoPi (mirror),0.02%
info-beamer OS (testing),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
Raspberry Pi 4 EEPROM boot recovery,0.00%
