Operating System,Percentage
Raspberry Pi OS (32-bit),47.04%
Raspberry Pi OS (other),24.70%
Ubuntu,11.74%
RetroPie,5.19%
Recalbox,4.76%
LibreELEC,3.20%
Misc utility images,2.30%
RISC OS Pi,0.97%
TLXOS,0.12%
