Operating System,Percentage
Raspberry Pi OS (32-bit),47.14%
Raspberry Pi OS (other),24.58%
Ubuntu,11.72%
RetroPie,5.48%
Recalbox,4.44%
LibreELEC,3.26%
Misc utility images,2.31%
RISC OS Pi,0.95%
TLXOS,0.11%
