Image,Percentage
Raspberry Pi OS (32-bit),48.45%
Raspberry Pi OS Lite (32-bit),14.35%
Raspberry Pi OS Full (32-bit),10.01%
Ubuntu Desktop 20.10 (RPi 4/400),5.64%
RetroPie 4.7.1 (RPI 4/400),3.14%
Raspberry Pi 4 EEPROM boot recovery,2.29%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.02%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.75%
RetroPie 4.7.1 (RPI 2/3),1.68%
LibreELEC (RPi4),1.66%
Ubuntu Server 20.10 (RPi 3/4/400),1.51%
Recalbox 7.1.1-Reloaded (Pi 3),1.40%
LibreELEC (RPi2/RPi3),1.40%
RISC OS (5.28),0.92%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.86%
RetroPie 4.7.1 (RPI 1/Zero),0.72%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.58%
Ubuntu Core 18 (RPi 3/4),0.44%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.31%
LibreELEC (RPi0/RPi1),0.30%
Ubuntu Core 18 (RPi 2/3/4),0.27%
Recalbox 7.1.1-Reloaded (Pi 2),0.17%
TLXOS RPi 4.9.2 (latest),0.07%
TLXOS RPi 4.8.0 (LTS),0.01%
RISC OS (5.24),0.01%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
