Operating System,Percentage
Raspberry Pi OS (32-bit),38.14%
Raspberry Pi OS (other),21.88%
Ubuntu,14.77%
Bootloader,5.43%
OctoPi,4.96%
RetroPie,4.21%
Recalbox,2.75%
Manjaro ARM Linux,2.05%
LibreELEC,1.70%
OSMC,1.34%
Home Assistant,1.07%
Homebridge,0.86%
RISC OS Pi,0.60%
info-beamer digital signage,0.14%
TLXOS,0.05%
ALT,0.05%
