Image,Percentage
Raspberry Pi OS (32-bit),39.57%
Raspberry Pi OS Lite (32-bit),14.79%
Raspberry Pi OS Full (32-bit),9.61%
Ubuntu Desktop 20.10 (RPi 4/400),6.37%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.20%
RetroPie 4.7.1 (RPI 4/400),2.87%
USB Boot,2.64%
Recalbox 7.1.1-Reloaded (Pi 3),2.25%
Ubuntu Server 20.10 (RPi 3/4/400),1.99%
RetroPie 4.7.1 (RPI 2/3),1.92%
SD Card Boot,1.79%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.74%
LibreELEC (RPi4),1.57%
LibreELEC (RPi2/RPi3),1.51%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.13%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),1.11%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.87%
RetroPie 4.7.1 (RPI 1/Zero),0.71%
RISC OS (5.28),0.59%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.56%
Ubuntu Core 18 (RPi 3/4),0.50%
OctoPi,0.49%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.40%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.35%
LibreELEC (RPi0/RPi1),0.35%
Ubuntu Core 18 (RPi 2/3/4),0.33%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.25%
Network Boot,0.17%
Recalbox 7.1.1-Reloaded (Pi 2),0.16%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.07%
TLXOS RPi 4.9.3 (latest),0.06%
Simply Linux 9.0 (Raspberry Pi 4),0.04%
TLXOS RPi 4.8.1 (LTS),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
OctoPi (mirror),0.01%
