Operating System,Percentage
Raspberry Pi OS (32-bit),41.08%
Raspberry Pi OS (other),22.55%
Ubuntu,16.55%
RetroPie,4.79%
Recalbox,4.55%
Bootloader,4.25%
LibreELEC,2.76%
Manjaro ARM Linux,2.04%
RISC OS Pi,0.70%
OctoPi,0.43%
info-beamer digital signage,0.18%
ALT,0.06%
TLXOS,0.05%
