Image,Percentage
Raspberry Pi OS (32-bit),40.94%
Raspberry Pi OS Lite (32-bit),13.76%
Raspberry Pi OS Full (32-bit),8.96%
Ubuntu Desktop 21.04 (RPi 4/400),6.13%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.58%
RetroPie 4.7.1 (RPI 4/400),2.53%
SD Card Boot,2.17%
Ubuntu Server 21.04 (RPi 3/4/400),2.13%
USB Boot,1.98%
RetroPie 4.7.1 (RPI 2/3),1.63%
LibreELEC (RPi4),1.37%
Ubuntu Desktop 20.10 (RPi 4/400),1.14%
LibreELEC (RPi2/RPi3),1.13%
Recalbox 7.2-Reloaded - Pi4 / Pi400,1.01%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.97%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.92%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.90%
Recalbox 7.2-Reloaded - Pi3,0.90%
RISC OS (5.28),0.68%
RetroPie 4.7.1 (RPI 1/Zero),0.64%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,0.63%
Recalbox 7.2.1-Reloaded - Pi3,0.59%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.55%
Ubuntu Core 18 (RPi 3/4),0.55%
OctoPi,0.45%
Ubuntu Server 20.10 (RPi 3/4/400),0.39%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),0.35%
Homebridge,0.34%
Recalbox 7.1.1-Reloaded (Pi 3),0.33%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.31%
LibreELEC (RPi0/RPi1),0.25%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.22%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.22%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.20%
info-beamer OS,0.18%
Network Boot,0.15%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.12%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.08%
Recalbox 7.2-Reloaded - Pi2,0.07%
Recalbox 7.2.1-Reloaded - Pi2,0.07%
TLXOS RPi 4.9.3 (latest),0.04%
Recalbox 7.1.1-Reloaded (Pi 2),0.03%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
OctoPi (mirror),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
TLXOS RPi 4.10.0 (latest),0.01%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
