Operating System,Percentage
Raspberry Pi OS (32-bit),47.24%
Raspberry Pi OS (other),24.10%
Ubuntu,12.96%
RetroPie,4.83%
Recalbox,4.55%
LibreELEC,2.95%
Misc utility images,2.18%
RISC OS Pi,1.10%
TLXOS,0.10%
