Operating System,Percentage
Raspberry Pi OS (32-bit),43.37%
Raspberry Pi OS (other),23.21%
Ubuntu,13.55%
RetroPie,4.58%
Recalbox,4.43%
Bootloader,4.28%
LibreELEC,3.12%
Manjaro ARM Linux,2.10%
RISC OS Pi,0.84%
OctoPi,0.44%
ALT,0.05%
TLXOS,0.03%
