Image,Percentage
Raspberry Pi OS (32-bit),42.02%
Raspberry Pi OS Lite (32-bit),13.75%
Raspberry Pi OS Full (32-bit),8.97%
Ubuntu Desktop 21.04 (RPi 4/400),6.96%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.85%
Ubuntu Server 21.04 (RPi 3/4/400),2.54%
SD Card Boot,2.29%
RetroPie 4.7.1 (RPI 4/400),2.03%
USB Boot,1.77%
Recalbox 7.2.1-Reloaded - Pi3,1.58%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.56%
RetroPie 4.7.1 (RPI 2/3),1.49%
LibreELEC (RPi4),1.31%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.17%
LibreELEC (RPi2/RPi3),1.11%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.98%
Homebridge,0.85%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.78%
RISC OS (5.28),0.74%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.59%
Ubuntu Core 18 (RPi 3/4),0.56%
OctoPi,0.50%
RetroPie 4.7.1 (RPI 1/Zero),0.45%
Ubuntu Core 18 (RPi 2/3/4),0.36%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.32%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.29%
LibreELEC (RPi0/RPi1),0.23%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.22%
Network Boot,0.20%
Recalbox 7.2.1-Reloaded - Pi2,0.19%
info-beamer OS,0.18%
TLXOS RPi 4.9.3 (latest),0.08%
Recalbox 7.2-Reloaded - Pi3,0.05%
info-beamer OS (testing),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
OctoPi (mirror),0.01%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.01%
