Operating System,Percentage
Raspberry Pi OS (32-bit),42.88%
Raspberry Pi OS (other),23.97%
Ubuntu,13.75%
RetroPie,4.86%
Bootloader,4.47%
Recalbox,3.82%
LibreELEC,2.89%
Manjaro ARM Linux,2.15%
RISC OS Pi,0.60%
OctoPi,0.47%
ALT,0.11%
TLXOS,0.06%
