Operating System,Percentage
Raspberry Pi OS (32-bit),42.02%
Raspberry Pi OS (other),26.19%
Ubuntu,13.07%
RetroPie,5.10%
Bootloader,4.22%
Recalbox,3.55%
LibreELEC,2.73%
Manjaro ARM Linux,1.84%
RISC OS Pi,0.67%
OctoPi,0.41%
ALT,0.14%
TLXOS,0.07%
