Image,Percentage
Raspberry Pi OS (32-bit),43.45%
Raspberry Pi OS Lite (32-bit),14.36%
Raspberry Pi OS Full (32-bit),9.82%
Ubuntu Desktop 20.10 (RPi 4/400),5.78%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.27%
RetroPie 4.7.1 (RPI 4/400),2.61%
USB Boot,2.34%
Ubuntu Server 20.10 (RPi 3/4/400),1.95%
SD Card Boot,1.77%
RetroPie 4.7.1 (RPI 2/3),1.65%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.52%
Recalbox 7.1.1-Reloaded (Pi 3),1.45%
LibreELEC (RPi4),1.42%
LibreELEC (RPi2/RPi3),1.12%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.99%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.87%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.70%
RetroPie 4.7.1 (RPI 1/Zero),0.67%
RISC OS (5.28),0.62%
Ubuntu Core 18 (RPi 3/4),0.50%
OctoPi,0.43%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.41%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.34%
Ubuntu Core 18 (RPi 2/3/4),0.32%
LibreELEC (RPi0/RPi1),0.25%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.24%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.24%
Recalbox 7.1.1-Reloaded (Pi 2),0.17%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.15%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.15%
Network Boot,0.13%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.08%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.06%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
Simply Linux 9.0 (Raspberry Pi 4),0.03%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
OctoPi (mirror),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
