Image,Percentage
Raspberry Pi OS (32-bit),47.17%
Raspberry Pi OS Lite (32-bit),15.10%
Raspberry Pi OS Full (32-bit),9.67%
Ubuntu Desktop 20.10 (RPi 4/400),5.97%
RetroPie 4.7.1 (RPI 4/400),2.71%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.54%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.23%
Raspberry Pi 4 EEPROM boot recovery,2.08%
Recalbox 7.1.1-Reloaded (Pi 3),1.98%
Ubuntu Server 20.10 (RPi 3/4/400),1.52%
LibreELEC (RPi4),1.47%
RetroPie 4.7.1 (RPI 2/3),1.40%
LibreELEC (RPi2/RPi3),1.30%
RISC OS (5.28),0.94%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.81%
RetroPie 4.7.1 (RPI 1/Zero),0.72%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.65%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.42%
Ubuntu Core 18 (RPi 3/4),0.36%
LibreELEC (RPi0/RPi1),0.30%
Ubuntu Core 18 (RPi 2/3/4),0.26%
Recalbox 7.1.1-Reloaded (Pi 2),0.21%
TLXOS RPi 4.9.2 (latest),0.13%
TLXOS RPi 4.8.0 (LTS),0.05%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
