Image,Percentage
Raspberry Pi OS (32-bit),40.96%
Raspberry Pi OS Lite (32-bit),13.78%
Raspberry Pi OS Full (32-bit),8.97%
Ubuntu Desktop 21.04 (RPi 4/400),5.87%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.57%
RetroPie 4.7.1 (RPI 4/400),2.54%
SD Card Boot,2.16%
Ubuntu Server 21.04 (RPi 3/4/400),2.04%
USB Boot,1.98%
RetroPie 4.7.1 (RPI 2/3),1.64%
LibreELEC (RPi4),1.37%
Ubuntu Desktop 20.10 (RPi 4/400),1.35%
LibreELEC (RPi2/RPi3),1.14%
Recalbox 7.2-Reloaded - Pi4 / Pi400,1.00%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.93%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.93%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.91%
Recalbox 7.2-Reloaded - Pi3,0.90%
RISC OS (5.28),0.68%
RetroPie 4.7.1 (RPI 1/Zero),0.65%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,0.58%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.55%
Ubuntu Core 18 (RPi 3/4),0.55%
Recalbox 7.2.1-Reloaded - Pi3,0.53%
Ubuntu Server 20.10 (RPi 3/4/400),0.46%
OctoPi,0.45%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),0.41%
Recalbox 7.1.1-Reloaded (Pi 3),0.38%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.33%
Homebridge,0.32%
Ubuntu Core 18 (RPi 2/3/4),0.31%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.25%
LibreELEC (RPi0/RPi1),0.24%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.22%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.20%
info-beamer OS,0.18%
Network Boot,0.15%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.11%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.08%
Recalbox 7.2-Reloaded - Pi2,0.07%
Recalbox 7.2.1-Reloaded - Pi2,0.06%
TLXOS RPi 4.9.3 (latest),0.04%
Recalbox 7.1.1-Reloaded (Pi 2),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
OctoPi (mirror),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
