Operating System,Percentage
Raspberry Pi OS (32-bit),41.49%
Raspberry Pi OS (other),22.99%
Ubuntu,15.78%
RetroPie,4.85%
Bootloader,4.26%
Recalbox,4.24%
LibreELEC,2.75%
Manjaro ARM Linux,2.04%
RISC OS Pi,0.65%
OctoPi,0.47%
info-beamer digital signage,0.17%
Homebridge,0.16%
ALT,0.07%
TLXOS,0.06%
Misc utility images,0.00%
