Image,Percentage
Raspberry Pi OS (32-bit),40.55%
Raspberry Pi OS Lite (32-bit),13.51%
Raspberry Pi OS Full (32-bit),8.87%
Ubuntu Desktop 21.04 (RPi 4/400),7.49%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.69%
Ubuntu Server 21.04 (RPi 3/4/400),2.64%
RetroPie 4.7.1 (RPI 4/400),2.57%
Recalbox 7.2-Reloaded - Pi4 / Pi400,2.32%
USB Boot,2.04%
SD Card Boot,2.01%
Recalbox 7.2-Reloaded - Pi3,1.97%
RetroPie 4.7.1 (RPI 2/3),1.61%
LibreELEC (RPi4),1.33%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.19%
LibreELEC (RPi2/RPi3),1.13%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.92%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.92%
RISC OS (5.28),0.67%
RetroPie 4.7.1 (RPI 1/Zero),0.66%
Ubuntu Core 18 (RPi 3/4),0.56%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.51%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.41%
OctoPi,0.40%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.30%
LibreELEC (RPi0/RPi1),0.24%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.22%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),0.17%
info-beamer OS,0.17%
Recalbox 7.2-Reloaded - Pi2,0.15%
Network Boot,0.15%
Recalbox 7.1.1-Reloaded (Pi 3),0.12%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.03%
OctoPi (mirror),0.02%
info-beamer OS (testing),0.02%
Recalbox 7.1.1-Reloaded (Pi 2),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
Ubuntu Desktop 20.10 (RPi 4/400),0.00%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.00%
Raspberry Pi 4 EEPROM boot recovery,0.00%
