Operating System,Percentage
Raspberry Pi OS (32-bit),46.08%
Raspberry Pi OS (other),24.80%
Ubuntu,12.66%
RetroPie,5.28%
Recalbox,4.36%
LibreELEC,3.38%
Misc utility images,2.34%
RISC OS Pi,0.99%
TLXOS,0.11%
