Image,Percentage
Raspberry Pi OS (32-bit),43.03%
Raspberry Pi OS Lite (32-bit),13.98%
Raspberry Pi OS Full (32-bit),9.64%
Ubuntu Desktop 20.10 (RPi 4/400),6.05%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.12%
RetroPie 4.7.1 (RPI 4/400),2.81%
SD Card Boot,2.00%
USB Boot,1.98%
Ubuntu Server 20.10 (RPi 3/4/400),1.89%
RetroPie 4.7.1 (RPI 2/3),1.85%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.65%
LibreELEC (RPi4),1.51%
Recalbox 7.1.1-Reloaded (Pi 3),1.49%
LibreELEC (RPi2/RPi3),1.23%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),1.09%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.97%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.81%
RISC OS (5.28),0.75%
RetroPie 4.7.1 (RPI 1/Zero),0.72%
Ubuntu Core 18 (RPi 3/4),0.58%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.55%
OctoPi,0.41%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.36%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.27%
LibreELEC (RPi0/RPi1),0.26%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.22%
Recalbox 7.1.1-Reloaded (Pi 2),0.18%
Network Boot,0.17%
TLXOS RPi 4.9.3 (latest),0.06%
OctoPi (mirror),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
