Operating System,Percentage
Raspberry Pi OS (32-bit),47.07%
Raspberry Pi OS (other),25.34%
Ubuntu,11.68%
RetroPie,4.97%
Recalbox,4.61%
LibreELEC,3.02%
Misc utility images,2.29%
RISC OS Pi,0.90%
TLXOS,0.13%
