Image,Percentage
Raspberry Pi OS (32-bit),45.52%
Raspberry Pi OS Lite (32-bit),14.02%
Raspberry Pi OS Full (32-bit),10.05%
Ubuntu Desktop 20.10 (RPi 4/400),5.50%
RetroPie 4.7.1 (RPI 4/400),2.70%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.44%
Ubuntu Server 20.10 (RPi 3/4/400),1.82%
USB Boot,1.72%
SD Card Boot,1.66%
RetroPie 4.7.1 (RPI 2/3),1.58%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.46%
Recalbox 7.1.1-Reloaded (Pi 3),1.37%
LibreELEC (RPi4),1.35%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),1.32%
LibreELEC (RPi2/RPi3),1.22%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.92%
RISC OS (5.28),0.86%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.73%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.60%
Ubuntu Core 18 (RPi 3/4),0.57%
RetroPie 4.7.1 (RPI 1/Zero),0.57%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.47%
LibreELEC (RPi0/RPi1),0.30%
Ubuntu Core 18 (RPi 2/3/4),0.28%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.27%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.26%
Network Boot,0.22%
Recalbox 7.1.1-Reloaded (Pi 2),0.12%
TLXOS RPi 4.9.3 (latest),0.08%
TLXOS RPi 4.8.1 (LTS),0.04%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
