Operating System,Percentage
Raspberry Pi OS (32-bit),47.51%
Raspberry Pi OS (other),24.67%
Ubuntu,11.77%
RetroPie,4.91%
Recalbox,4.60%
LibreELEC,3.17%
Misc utility images,2.26%
RISC OS Pi,1.00%
TLXOS,0.12%
