Image,Percentage
Raspberry Pi OS (32-bit),42.84%
Raspberry Pi OS Lite (32-bit),14.36%
Raspberry Pi OS Full (32-bit),9.43%
Ubuntu Desktop 20.10 (RPi 4/400),5.56%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.27%
RetroPie 4.7.1 (RPI 4/400),2.60%
USB Boot,2.27%
SD Card Boot,1.90%
Ubuntu Server 20.10 (RPi 3/4/400),1.86%
RetroPie 4.7.1 (RPI 2/3),1.61%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.48%
Recalbox 7.1.1-Reloaded (Pi 3),1.47%
LibreELEC (RPi4),1.39%
LibreELEC (RPi2/RPi3),1.15%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.99%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.88%
RetroPie 4.7.1 (RPI 1/Zero),0.68%
RISC OS (5.28),0.65%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.61%
Ubuntu Desktop 21.04 (RPi 4/400),0.54%
Ubuntu Core 18 (RPi 3/4),0.53%
OctoPi,0.46%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.37%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.34%
Ubuntu Core 18 (RPi 2/3/4),0.33%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.32%
LibreELEC (RPi0/RPi1),0.26%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.22%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.21%
Ubuntu Server 21.04 (RPi 3/4/400),0.20%
Recalbox 7.1.1-Reloaded (Pi 2),0.15%
Network Boot,0.15%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.14%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.13%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.11%
Recalbox 7.2-Reloaded - Pi3,0.11%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.09%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.08%
info-beamer OS,0.05%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.02%
OctoPi (mirror),0.02%
Recalbox 7.2-Reloaded - Pi2,0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
info-beamer OS (testing),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
Raspberry Pi 4 EEPROM boot recovery,0.00%
