Operating System,Percentage
Raspberry Pi OS (32-bit),43.65%
Raspberry Pi OS (other),24.92%
Ubuntu,12.55%
RetroPie,5.33%
Bootloader,3.80%
Recalbox,3.47%
LibreELEC,2.95%
Manjaro ARM Linux,2.34%
RISC OS Pi,0.63%
OctoPi,0.32%
TLXOS,0.06%
