Image,Percentage
Raspberry Pi OS (32-bit),42.49%
Raspberry Pi OS Lite (32-bit),14.28%
Raspberry Pi OS Full (32-bit),9.46%
Ubuntu Desktop 20.10 (RPi 4/400),5.02%
RetroPie 4.7.1 (RPI 4/400),2.83%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.70%
RetroPie 4.7.1 (RPI 2/3),2.39%
SD Card Boot,2.39%
USB Boot,1.96%
Recalbox 7.1.1-Reloaded (Pi 3),1.96%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.93%
LibreELEC (RPi4),1.73%
Ubuntu Server 20.10 (RPi 3/4/400),1.68%
LibreELEC (RPi2/RPi3),1.54%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),1.11%
RetroPie 4.7.1 (RPI 1/Zero),0.94%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.89%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.65%
RISC OS (5.28),0.62%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.55%
Ubuntu Core 18 (RPi 3/4),0.52%
OctoPi,0.46%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.34%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.28%
Ubuntu Core 18 (RPi 2/3/4),0.27%
Recalbox 7.1.1-Reloaded (Pi 2),0.26%
LibreELEC (RPi0/RPi1),0.26%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.25%
Network Boot,0.14%
TLXOS RPi 4.9.3 (latest),0.08%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
