Image,Percentage
Raspberry Pi OS (32-bit),40.24%
Raspberry Pi OS Lite (32-bit),13.72%
Raspberry Pi OS Full (32-bit),8.93%
Ubuntu Desktop 21.04 (RPi 4/400),7.63%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.63%
Ubuntu Server 21.04 (RPi 3/4/400),2.64%
RetroPie 4.7.1 (RPI 4/400),2.39%
SD Card Boot,2.24%
USB Boot,1.95%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.88%
Recalbox 7.2.1-Reloaded - Pi3,1.76%
RetroPie 4.7.1 (RPI 2/3),1.63%
LibreELEC (RPi4),1.42%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.18%
LibreELEC (RPi2/RPi3),1.09%
Homebridge,0.92%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.88%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.82%
RISC OS (5.28),0.74%
RetroPie 4.7.1 (RPI 1/Zero),0.60%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.58%
Ubuntu Core 18 (RPi 3/4),0.57%
OctoPi,0.44%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.34%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.33%
Ubuntu Core 18 (RPi 2/3/4),0.31%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.24%
LibreELEC (RPi0/RPi1),0.23%
Recalbox 7.2.1-Reloaded - Pi2,0.20%
info-beamer OS,0.20%
Network Boot,0.14%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
OctoPi (mirror),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
Recalbox 7.2-Reloaded - Pi3,0.01%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.00%
TLXOS RPi 4.10.0 (latest),0.00%
