Image,Percentage
Raspberry Pi OS (32-bit),44.02%
Raspberry Pi OS Lite (32-bit),15.34%
Raspberry Pi OS Full (32-bit),10.28%
Ubuntu Desktop 20.10 (RPi 4/400),5.42%
RetroPie 4.7.1 (RPI 4/400),3.05%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.36%
Recalbox 7.1.1-Reloaded (Pi 3),2.24%
Raspberry Pi 4 EEPROM boot recovery,2.19%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.19%
RetroPie 4.7.1 (RPI 2/3),2.14%
Ubuntu Server 20.10 (RPi 3/4/400),1.79%
LibreELEC (RPi4),1.78%
LibreELEC (RPi2/RPi3),1.54%
RISC OS (5.28),1.05%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.04%
RetroPie 4.7.1 (RPI 1/Zero),0.91%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.58%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.53%
Ubuntu Core 18 (RPi 3/4),0.45%
Ubuntu Core 18 (RPi 2/3/4),0.38%
LibreELEC (RPi0/RPi1),0.32%
Recalbox 7.1.1-Reloaded (Pi 2),0.29%
TLXOS RPi 4.9.2 (latest),0.06%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
TLXOS RPi 4.8.0 (LTS),0.01%
