Operating System,Percentage
Raspberry Pi OS (32-bit),46.55%
Raspberry Pi OS (other),24.67%
Ubuntu,12.62%
RetroPie,5.12%
Recalbox,4.32%
LibreELEC,3.31%
Misc utility images,2.31%
RISC OS Pi,0.99%
TLXOS,0.11%
