Image,Percentage
Raspberry Pi OS (32-bit),37.91%
Raspberry Pi OS Lite (32-bit),13.30%
Raspberry Pi OS Full (32-bit),8.50%
Ubuntu Desktop 21.04 (RPi 4/400),7.26%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.86%
Recalbox 7.2-Reloaded - Pi4 / Pi400,3.40%
RetroPie 4.7.1 (RPI 4/400),2.78%
Recalbox 7.2-Reloaded - Pi3,2.74%
Ubuntu Server 21.04 (RPi 3/4/400),2.56%
USB Boot,2.15%
RetroPie 4.7.1 (RPI 2/3),2.02%
SD Card Boot,1.85%
LibreELEC (RPi2/RPi3),1.42%
LibreELEC (RPi4),1.41%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.21%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),1.10%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.96%
RetroPie 4.7.1 (RPI 1/Zero),0.80%
RISC OS (5.28),0.80%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.72%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.59%
Ubuntu Core 18 (RPi 3/4),0.44%
OctoPi,0.39%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.35%
Ubuntu Core 18 (RPi 2/3/4),0.29%
LibreELEC (RPi0/RPi1),0.28%
Recalbox 7.2-Reloaded - Pi2,0.24%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.22%
info-beamer OS,0.16%
Network Boot,0.08%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.07%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
TLXOS RPi 4.9.3 (latest),0.02%
OctoPi (mirror),0.02%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),0.01%
Recalbox 7.1.1-Reloaded (Pi 3),0.01%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
