Operating System,Percentage
Raspberry Pi OS (32-bit),39.38%
Raspberry Pi OS (other),23.46%
Ubuntu,14.92%
Bootloader,4.87%
OctoPi,4.58%
RetroPie,3.46%
Recalbox,2.54%
Manjaro ARM Linux,1.65%
OSMC,1.27%
LibreELEC,1.26%
Home Assistant,1.01%
Homebridge,0.84%
RISC OS Pi,0.50%
info-beamer digital signage,0.12%
TLXOS,0.11%
ALT,0.01%
