Image,Percentage
Raspberry Pi OS (32-bit),46.49%
Raspberry Pi OS Lite (32-bit),14.88%
Raspberry Pi OS Full (32-bit),9.95%
Ubuntu Desktop 20.10 (RPi 4/400),5.71%
RetroPie 4.7.1 (RPI 4/400),2.74%
Raspberry Pi 4 EEPROM boot recovery,2.26%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.99%
Recalbox 7.1.1-Reloaded (Pi 3),1.86%
LibreELEC (RPi4),1.69%
Ubuntu Server 20.10 (RPi 3/4/400),1.66%
RetroPie 4.7.1 (RPI 2/3),1.59%
LibreELEC (RPi2/RPi3),1.41%
Ubuntu Server 20.04.1 LTS (RPi 3/4),1.37%
RISC OS (5.28),0.97%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.92%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),0.87%
RetroPie 4.7.1 (RPI 1/Zero),0.72%
Ubuntu Core 18 (RPi 3/4),0.56%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.45%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.41%
LibreELEC (RPi0/RPi1),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.31%
Ubuntu Server 20.04.2 LTS (RPi 3/4),0.30%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.21%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
TLXOS RPi 4.9.3 (latest),0.06%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4),0.05%
TLXOS RPi 4.9.2 (latest),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
TLXOS RPi 4.8.0 (LTS),0.01%
