Image,Percentage
Raspberry Pi OS (32-bit),44.87%
Raspberry Pi OS Lite (32-bit),14.32%
Raspberry Pi OS Full (32-bit),9.87%
Ubuntu Desktop 20.10 (RPi 4/400),5.93%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.80%
RetroPie 4.7.1 (RPI 4/400),2.79%
RetroPie 4.7.1 (RPI 2/3),1.83%
Ubuntu Server 20.10 (RPi 3/4/400),1.80%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.69%
LibreELEC (RPi4),1.55%
Recalbox 7.1.1-Reloaded (Pi 3),1.54%
LibreELEC (RPi2/RPi3),1.31%
Raspberry Pi 4 EEPROM boot recovery,1.26%
USB Boot,0.99%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.97%
SD Card Boot,0.95%
RISC OS (5.28),0.85%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.75%
RetroPie 4.7.1 (RPI 1/Zero),0.73%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.58%
Ubuntu Core 18 (RPi 3/4),0.56%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.37%
Ubuntu Core 18 (RPi 2/3/4),0.30%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.29%
LibreELEC (RPi0/RPi1),0.27%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.20%
Recalbox 7.1.1-Reloaded (Pi 2),0.19%
OctoPi,0.17%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.12%
Network Boot,0.09%
TLXOS RPi 4.9.3 (latest),0.06%
TLXOS RPi 4.8.1 (LTS),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
OctoPi (mirror),0.00%
