Image,Percentage
Raspberry Pi OS (32-bit),41.09%
Raspberry Pi OS Lite (32-bit),13.81%
Raspberry Pi OS Full (32-bit),8.99%
Ubuntu Desktop 21.04 (RPi 4/400),5.60%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.57%
RetroPie 4.7.1 (RPI 4/400),2.55%
SD Card Boot,2.14%
USB Boot,1.98%
Ubuntu Server 21.04 (RPi 3/4/400),1.94%
RetroPie 4.7.1 (RPI 2/3),1.64%
Ubuntu Desktop 20.10 (RPi 4/400),1.55%
LibreELEC (RPi4),1.37%
LibreELEC (RPi2/RPi3),1.13%
Recalbox 7.2-Reloaded - Pi4 / Pi400,1.00%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.93%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.91%
Recalbox 7.2-Reloaded - Pi3,0.90%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.89%
RISC OS (5.28),0.67%
RetroPie 4.7.1 (RPI 1/Zero),0.65%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.55%
Ubuntu Core 18 (RPi 3/4),0.55%
Ubuntu Server 20.10 (RPi 3/4/400),0.53%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,0.52%
Recalbox 7.2.1-Reloaded - Pi3,0.47%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),0.46%
OctoPi,0.45%
Recalbox 7.1.1-Reloaded (Pi 3),0.43%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Homebridge,0.29%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.28%
LibreELEC (RPi0/RPi1),0.24%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.22%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.20%
info-beamer OS,0.18%
Network Boot,0.15%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.10%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.09%
Recalbox 7.2-Reloaded - Pi2,0.07%
Recalbox 7.2.1-Reloaded - Pi2,0.05%
TLXOS RPi 4.9.3 (latest),0.04%
Recalbox 7.1.1-Reloaded (Pi 2),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
OctoPi (mirror),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
