Image,Percentage
Raspberry Pi OS (32-bit),45.98%
Raspberry Pi OS Lite (32-bit),14.68%
Raspberry Pi OS Full (32-bit),10.18%
Ubuntu Desktop 20.10 (RPi 4/400),6.01%
RetroPie 4.7.1 (RPI 4/400),2.79%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.65%
Raspberry Pi 4 EEPROM boot recovery,2.40%
RetroPie 4.7.1 (RPI 2/3),1.84%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.73%
Ubuntu Server 20.10 (RPi 3/4/400),1.73%
LibreELEC (RPi4),1.65%
Recalbox 7.1.1-Reloaded (Pi 3),1.65%
LibreELEC (RPi2/RPi3),1.34%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.04%
RISC OS (5.28),1.01%
RetroPie 4.7.1 (RPI 1/Zero),0.72%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.72%
Ubuntu Core 18 (RPi 3/4),0.52%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.41%
Ubuntu Core 18 (RPi 2/3/4),0.35%
LibreELEC (RPi0/RPi1),0.30%
Recalbox 7.1.1-Reloaded (Pi 2),0.23%
TLXOS RPi 4.9.3 (latest),0.06%
TLXOS RPi 4.8.1 (LTS),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
