Operating System,Percentage
Raspberry Pi OS (32-bit),46.21%
Raspberry Pi OS (other),24.42%
Ubuntu,11.65%
RetroPie,5.54%
Recalbox,5.39%
LibreELEC,3.47%
Misc utility images,2.30%
RISC OS Pi,0.95%
TLXOS,0.06%
