Operating System,Percentage
Raspberry Pi OS (32-bit),40.52%
Raspberry Pi OS (other),22.42%
Ubuntu,17.02%
RetroPie,4.62%
Bootloader,4.35%
Recalbox,4.01%
LibreELEC,2.70%
Manjaro ARM Linux,1.90%
Homebridge,0.90%
RISC OS Pi,0.76%
OctoPi,0.45%
info-beamer digital signage,0.20%
TLXOS,0.10%
ALT,0.06%
