Operating System,Percentage
Raspberry Pi OS (32-bit),47.88%
Raspberry Pi OS (other),25.13%
Ubuntu,11.65%
RetroPie,4.83%
Recalbox,4.32%
LibreELEC,2.97%
Misc utility images,2.21%
RISC OS Pi,0.88%
TLXOS,0.13%
