Image,Percentage
Raspberry Pi OS (32-bit),47.15%
Raspberry Pi OS Lite (32-bit),14.87%
Raspberry Pi OS Full (32-bit),9.92%
Ubuntu Desktop 20.10 (RPi 4/400),5.65%
RetroPie 4.7.1 (RPI 4/400),2.66%
Raspberry Pi 4 EEPROM boot recovery,2.27%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.01%
Recalbox 7.1.1-Reloaded (Pi 3),1.85%
Ubuntu Server 20.10 (RPi 3/4/400),1.66%
RetroPie 4.7.1 (RPI 2/3),1.60%
LibreELEC (RPi4),1.58%
Ubuntu Server 20.04.1 LTS (RPi 3/4),1.58%
LibreELEC (RPi2/RPi3),1.33%
RISC OS (5.28),0.96%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.94%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),0.69%
RetroPie 4.7.1 (RPI 1/Zero),0.68%
Ubuntu Core 18 (RPi 3/4),0.52%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.45%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.41%
Ubuntu Core 18 (RPi 2/3/4),0.33%
LibreELEC (RPi0/RPi1),0.31%
Recalbox 7.1.1-Reloaded (Pi 2),0.21%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.18%
Ubuntu Server 20.04.2 LTS (RPi 3/4),0.08%
TLXOS RPi 4.9.2 (latest),0.06%
TLXOS RPi 4.9.3 (latest),0.03%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4),0.01%
TLXOS RPi 4.8.0 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
