Operating System,Percentage
Raspberry Pi OS (32-bit),42.90%
Raspberry Pi OS (other),23.90%
Ubuntu,14.02%
RetroPie,4.95%
Bootloader,4.30%
Recalbox,3.59%
LibreELEC,2.87%
Manjaro ARM Linux,2.14%
RISC OS Pi,0.68%
OctoPi,0.47%
ALT,0.08%
TLXOS,0.06%
info-beamer digital signage,0.03%
