Operating System,Percentage
Raspberry Pi OS (32-bit),45.88%
Raspberry Pi OS (other),25.44%
Ubuntu,12.01%
Recalbox,5.00%
RetroPie,4.95%
LibreELEC,3.29%
Misc utility images,2.53%
RISC OS Pi,0.78%
TLXOS,0.12%
