Operating System,Percentage
Raspberry Pi OS (32-bit),40.62%
Raspberry Pi OS (other),22.53%
Ubuntu,16.74%
RetroPie,4.73%
Recalbox,4.39%
Bootloader,4.28%
LibreELEC,2.71%
Manjaro ARM Linux,1.99%
RISC OS Pi,0.70%
Homebridge,0.47%
OctoPi,0.45%
info-beamer digital signage,0.20%
TLXOS,0.08%
ALT,0.06%
Home Assistant,0.05%
Misc utility images,0.00%
