Image,Percentage
Raspberry Pi OS (32-bit),34.98%
Raspberry Pi OS Lite (32-bit),16.20%
Raspberry Pi OS Full (32-bit),8.19%
Ubuntu Desktop 21.04 (RPi 4/400),5.64%
OctoPi,4.81%
Ubuntu Server 20.04.3 LTS (RPi 3/4/400),3.33%
USB Boot,3.14%
RetroPie 4.7.1 (RPI 4/400),2.45%
Ubuntu Server 21.04 (RPi 3/4/400),2.28%
SD Card Boot,2.22%
LibreELEC (RPi4),1.69%
Recalbox 7.2.2-Reloaded - Pi3,1.62%
RetroPie 4.7.1 (RPI 2/3),1.53%
Recalbox 7.2.2-Reloaded - Pi4 / Pi400,1.31%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.07%
Manjaro ARM KDE Plasma 21.08 (RPi 3/3+/4/400),1.02%
Homebridge,1.00%
OSMC (Pi 2/3),0.81%
Ubuntu Server 20.04.3 LTS (RPi 2/3/4/400),0.75%
Home Assistant OS 6.2 (RPi 4/400),0.71%
RetroPie 4.7.1 (RPI 1/Zero),0.67%
RISC OS (5.28),0.65%
OSMC (Pi 4 / Pi 400),0.65%
Home Assistant OS 6.2 (RPi 3),0.42%
Ubuntu Core 20 (RPi 3/4),0.40%
Manjaro ARM XFCE 21.08 (RPi 3/3+/4/400),0.35%
Recalbox 7.2.2-Reloaded - Pi0 / Pi1 / GPiCase,0.30%
Manjaro ARM MATE 21.08 (RPi 3/3+/4/400),0.26%
OSMC (Pi 0/1),0.24%
Ubuntu Core 20 (RPi 2/3/4),0.22%
Network Boot,0.19%
Manjaro ARM Gnome 21.08 (RPi 3/3+/4/400),0.19%
Manjaro ARM Minimal 21.08 (RPi 3/3+/4/400),0.17%
Recalbox 7.2.2-Reloaded - Pi2,0.13%
info-beamer OS,0.11%
Manjaro ARM Sway 21.08 (RPi 3/3+/4/400),0.11%
OctoPi (mirror),0.10%
ALT Workstation 9.2 (Raspberry Pi 4/3),0.04%
Simply Linux 9.1 (Raspberry Pi 4/3),0.02%
info-beamer OS (testing),0.01%
ALT Education 9.2 (Raspberry Pi 4/3),0.01%
TLXOS RPi 4.10.0 (latest),0.01%
