Operating System,Percentage
Raspberry Pi OS (32-bit),48.12%
Raspberry Pi OS (other),24.43%
Ubuntu,11.38%
RetroPie,5.57%
Recalbox,3.79%
LibreELEC,3.38%
Misc utility images,2.30%
RISC OS Pi,0.93%
TLXOS,0.10%
