Operating System,Percentage
Raspberry Pi OS (32-bit),42.81%
Raspberry Pi OS (other),24.09%
Ubuntu,13.69%
RetroPie,5.04%
Bootloader,4.35%
Recalbox,3.85%
LibreELEC,2.90%
Manjaro ARM Linux,2.06%
RISC OS Pi,0.60%
OctoPi,0.46%
ALT,0.10%
TLXOS,0.06%
