Operating System,Percentage
Raspberry Pi OS (32-bit),42.02%
Raspberry Pi OS (other),23.29%
Ubuntu,15.16%
RetroPie,4.93%
Bootloader,4.24%
Recalbox,4.12%
LibreELEC,2.81%
Manjaro ARM Linux,2.06%
RISC OS Pi,0.65%
OctoPi,0.47%
info-beamer digital signage,0.12%
ALT,0.08%
TLXOS,0.06%
Misc utility images,0.00%
