Operating System,Percentage
Raspberry Pi OS (32-bit),47.02%
Raspberry Pi OS (other),24.68%
Ubuntu,12.26%
RetroPie,4.96%
Recalbox,4.43%
LibreELEC,3.27%
Misc utility images,2.27%
RISC OS Pi,0.98%
TLXOS,0.12%
