Image,Percentage
Raspberry Pi OS (32-bit),47.44%
Raspberry Pi OS Lite (32-bit),14.63%
Raspberry Pi OS Full (32-bit),9.96%
Ubuntu Desktop 20.10 (RPi 4/400),5.67%
RetroPie 4.7.1 (RPI 4/400),2.63%
Raspberry Pi 4 EEPROM boot recovery,2.24%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.20%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.06%
Recalbox 7.1.1-Reloaded (Pi 3),1.96%
RetroPie 4.7.1 (RPI 2/3),1.64%
Ubuntu Server 20.10 (RPi 3/4/400),1.61%
LibreELEC (RPi4),1.57%
LibreELEC (RPi2/RPi3),1.30%
RISC OS (5.28),1.01%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.93%
RetroPie 4.7.1 (RPI 1/Zero),0.63%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.62%
Ubuntu Core 18 (RPi 3/4),0.47%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.42%
LibreELEC (RPi0/RPi1),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.31%
Recalbox 7.1.1-Reloaded (Pi 2),0.24%
TLXOS RPi 4.9.2 (latest),0.09%
TLXOS RPi 4.8.0 (LTS),0.02%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
