Image,Percentage
Raspberry Pi OS (32-bit),44.58%
Raspberry Pi OS Lite (32-bit),14.25%
Raspberry Pi OS Full (32-bit),9.82%
Ubuntu Desktop 20.10 (RPi 4/400),5.99%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.87%
RetroPie 4.7.1 (RPI 4/400),2.77%
Ubuntu Server 20.10 (RPi 3/4/400),1.83%
RetroPie 4.7.1 (RPI 2/3),1.81%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.67%
Recalbox 7.1.1-Reloaded (Pi 3),1.53%
LibreELEC (RPi4),1.52%
LibreELEC (RPi2/RPi3),1.30%
USB Boot,1.15%
SD Card Boot,1.09%
Raspberry Pi 4 EEPROM boot recovery,1.09%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.99%
RISC OS (5.28),0.84%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.76%
RetroPie 4.7.1 (RPI 1/Zero),0.72%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.65%
Ubuntu Core 18 (RPi 3/4),0.56%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.36%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.33%
Ubuntu Core 18 (RPi 2/3/4),0.30%
LibreELEC (RPi0/RPi1),0.28%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.23%
OctoPi,0.20%
Recalbox 7.1.1-Reloaded (Pi 2),0.19%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.13%
Network Boot,0.10%
TLXOS RPi 4.9.3 (latest),0.06%
TLXOS RPi 4.8.1 (LTS),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
OctoPi (mirror),0.01%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.00%
ALT Education 9.1 (Raspberry Pi 4/3),0.00%
