Image,Percentage
Raspberry Pi OS (32-bit),45.25%
Raspberry Pi OS Lite (32-bit),15.20%
Raspberry Pi OS Full (32-bit),9.60%
Ubuntu Desktop 20.10 (RPi 4/400),5.22%
RetroPie 4.7.1 (RPI 4/400),2.96%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.58%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.25%
Raspberry Pi 4 EEPROM boot recovery,2.22%
Recalbox 7.1.1-Reloaded (Pi 3),2.20%
LibreELEC (RPi4),2.08%
Ubuntu Server 20.10 (RPi 3/4/400),1.83%
RetroPie 4.7.1 (RPI 2/3),1.73%
LibreELEC (RPi2/RPi3),1.55%
RISC OS (5.28),1.00%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.89%
RetroPie 4.7.1 (RPI 1/Zero),0.84%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.63%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.45%
Ubuntu Core 18 (RPi 3/4),0.42%
LibreELEC (RPi0/RPi1),0.37%
Ubuntu Core 18 (RPi 2/3/4),0.35%
Recalbox 7.1.1-Reloaded (Pi 2),0.23%
TLXOS RPi 4.9.2 (latest),0.10%
TLXOS RPi IoT 4.8.0 (LTS),0.03%
TLXOS RPi 4.8.0 (LTS),0.03%
