Operating System,Percentage
Raspberry Pi OS (32-bit),45.87%
Raspberry Pi OS (other),24.65%
Ubuntu,12.66%
RetroPie,5.61%
Recalbox,4.12%
LibreELEC,3.37%
Misc utility images,2.64%
RISC OS Pi,0.98%
TLXOS,0.10%
