Operating System,Percentage
Raspberry Pi OS (32-bit),46.36%
Raspberry Pi OS (other),24.66%
Ubuntu,12.77%
RetroPie,5.18%
Recalbox,4.26%
LibreELEC,3.31%
Misc utility images,2.36%
RISC OS Pi,0.99%
TLXOS,0.11%
